source_mlo,unified_mlo,source_dbs,annotations
basal Numb-Pon crescent in dividing neuroblasts,polarity_condensate,PhasePro,2
Fus1 condensate,polarity_condensate,CDCODE,1
PcG body,polycomb_body,"CDCODE,DrLLPS",70
Polycomb body,polycomb_body,PhaSepDB,11
PcG chromatin condensates,polycomb_body,PhasePro,1
PolyP granule,polyp_granule,CDCODE,1
Postsynaptic density,postsynaptic_density,"CDCODE,DrLLPS,PhaSepDB",4468
Rapsn condensate,postsynaptic_density,CDCODE,7
postsynaptic density,postsynaptic_density,PhasePro,2
ArgBP2 dendritic spine condensate,postsynaptic_density,CDCODE,1
FATZ-1 condensate,postsynaptic_density,CDCODE,1
ATG condensate,pre_autophagosomal_structure,CDCODE,5
Pre-autophagosomal structure,pre_autophagosomal_structure,PhaSepDB,5
ATG4B condensate,pre_autophagosomal_structure,CDCODE,1
Presynaptic clusters and postsynaptic densities,presynaptic_active_zone,CDCODE,1366
Presynaptic clusters,presynaptic_active_zone,CDCODE,15
Presynaptic active zone condensate,presynaptic_active_zone,PhaSepDB,11
presynaptic cytosol,presynaptic_active_zone,PhasePro,2
Proteasome condensate,proteasome_foci,CDCODE,8
Proteasome containing foci,proteasome_foci,PhaSepDB,7
Proteasome Storage Granule,proteasome_foci,PhaSepDB,5
senescence-associated nuclear proteasome foci,proteasome_foci,CDCODE,5
BAG2,proteasome_foci,CDCODE,1
Purinosome,purinosome,"CDCODE,PhaSepDB",8
Pyrenoid matrix,pyrenoid,DrLLPS,181
Pyrenoid,pyrenoid,CDCODE,84
pyrenoid,pyrenoid,PhasePro,2
Refractile body,refractile_body,CDCODE,1
viral replication compartment (VRC),replication_compartment,CDCODE,8
ORC1 bodies,replication_compartment,CDCODE,5
Replication compartment,replication_compartment,PhaSepDB,5
Pre-replication compartment (PRC),replication_compartment,CDCODE,3
VRO-associated condensate,replication_compartment,PhaSepDB,1
Virus-induced replication (VIR) condensate,replication_compartment,CDCODE,1
Rho body,rho_body,CDCODE,1
RNA-helicase condensates,rna_helicase_condensate,PhaSepDB,1
Sam68 nuclear body,sam68_nuclear_body,"CDCODE,DrLLPS,PhaSepDB",38
Sam68 nuclear bodies (SNBs),sam68_nuclear_body,PhasePro,2
FXR-driven SARS-CoV-2 condensate,sars_cov2_n_condensate,CDCODE,5
