accesion_obsoleta,accesion_vigente,motivo
Q9H7U0,Q6NW34,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H830,Q5UIP0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H855,Q9BSC4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H8U9,Q9NWH9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H9F8,Q8TED0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H9J6,Q76FK4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9H9V5,Q9Y4W2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9NSP6,Q9BY77,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9NV36,Q8WXF1,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9NVL3,Q9Y383,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9NVP0,Q9NQW6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9NVW5,Q53HL2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9NVY2,Q6RFH5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9NW67,Q8NDF8,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9NXH4,Q5T3I0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9NXK4,Q9H6Y2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9NYH0,Q9NXV6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9P1V2,Q96T60,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9P2R9,Q66PJ3,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9T0J7,Q8H1F0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9UG18,Q9H8H0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9UG39,A6NHR9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9UHY0,Q5SSJ5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9UJY0,Q9BVP2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9UP86,Q92878,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9UPP5,Q5XKL5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9Y321,Q9NTM9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9Y4S3,Q8NC51,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9Y658,Q7L014,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9Y6Y3,Q6KC79,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
X6RAL5,O00422,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
