"uid","name","description","species_taxon_id","species_name","confidence_score","condensate_type","infectious_agent_species_id","infectious_agent_species_name"
"9DBB3093",GW-body,"The mammalian analog of P-bodies is known as GW bodies. These are cytoplasmic foci involved in the breakdown of mRNA. RNA interference has been connected to GWBs in recent research, with disruption or disassembly of GWBs being shown to affect siRNA and miRNA silencing activity.",9606,Homo sapiens,0,biomolecular,,
"8A33FC22",Virus-induced replication (VIR) condensate,The VIR-condensate is a condensate formed within viral replication organelles (VROs) during the replication of positive-strand RNA viruses. It is driven by phase separation of viral replication proteins and incorporates co-opted host proteins to create a dynamic microenvironment that facilitates efficient viral synthesis.,4100,Nicotiana benthamiana ,4,infectious,12147,Tomato bushy stunt virus (strain Cherry)
"73A75392",P-granule,"P-granules are germ granules in C. elegans. P-granules are composed of a heterogenous mixture of RNAs and proteins. P-granule components are linked to RNA metabolism, implying their role in posttranscriptional control.",6239,Caenorhabditis elegans,1,biomolecular,,
F47B63CC,Galectin complex,The N-terminal domain of Galectin-3 contains aromatic residues which interact to phase separate the domain. This process is important for the extracellular agglutination function of Galectin-3.,9606,Homo sapiens,5,biomolecular,,
"1DAEF59B",Pericentriolar matrix,"Cetrosomes are the main microtubule organising centers (MTOC) of animal cells and thus are critical in regulating cell-cycle progression. Centrosomes nucleate microtubules during mitosis, allowing for chromosomal segregation. Each centrosome contains 2 centrioles arranged perpendicularly and surrounded by pericentriolar material (PCM).",9606,Homo sapiens,1,biomolecular,,
"0A37FC0B",FXR1 condensates,FXR1 undergoes phase separation to form mRNP granules in Late Spermatids (LS) and are indispensable for the male fertility in mice. FXR1 recruits translation factors like ELF4G3 into the condensates. The fusion of these FXR1 condensates with RNP granules in germ cells activate the translation of the stored mRNA .,10090,Mus musculus,5,biomolecular,,
DAAE2994,Synthetic Condensate 000235,,559292,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),3,synthetic,,
A08D2591,Synthetic Condensate 000245,,0,Chimeras,3,synthetic,,
DB0924F8,Yb-body,"Yb-bodies are perinuclear foci in Drosophila ovarian somatic cells, which  are thought to be the site of PIWI interacting RNA (piRNA) synthesis (OSCs). Yb bodies are multivalent condensates that are formed by Yb-Yb homotypic interaction and   interaction with flamenco RNA transcripts, which are the source of transposon-repressing piRNAs.",7227,Drosophila melanogaster,1,biomolecular,,
"3E94B511",Presynaptic clusters,Presynaptic clusters are clusters of synaptic vesicles at presynaptic sites.  Synapsin is the abundant protein associated with synaptic vesicles condensates.,6239,Caenorhabditis elegans,5,biomolecular,,
"95FADA74",Synthetic Condensate 000026,,9606,Homo sapiens,3,synthetic,,
"4700BF7B",SMN1 nuclear body,"Nuclear bodies are membraneless, RNA-rich organelles in the cell nucleus that concentrate certain nuclear proteins and RNA-protein complexes.",10090,Mus musculus,1,biomolecular,,
