unified_mlo,name_a,name_b,n_a,n_b,shared,overlap_coef,same_resource,shared_organism,res_a,res_b
dna_damage_foci,DNA damage foci,TopBP1 condensate,54,1,1,1.0,True,True,"CDCODE,DrLLPS,PhaSepDB",CDCODE
dna_damage_foci,PARP1-DNA condensate,SOSS-INTAC Condensate,3,5,0,0.0,True,True,CDCODE,CDCODE
dna_damage_foci,PARP1-DNA condensate,TopBP1 condensate,3,1,0,0.0,True,True,CDCODE,CDCODE
dna_damage_foci,SOSS-INTAC Condensate,TopBP1 condensate,5,1,0,0.0,True,True,CDCODE,CDCODE
endocytic_condensate,Ede1 condensate,Endocytic condensates,11,3,2,0.667,True,True,CDCODE,CDCODE
enhancer_condensate,Enhancer cluster,MegaTrans enhancer complex,1,2,0,0.0,True,True,CDCODE,CDCODE
enhancer_condensate,Enhancer cluster,enhancer condensate,1,4,0,0.0,False,True,CDCODE,PhaSepDB
enhancer_condensate,Enhancer cluster,nuclear bodies that occur at super enhancers in mESCs,1,2,0,0.0,False,True,CDCODE,PhasePro
enhancer_condensate,Enhancer cluster,robustly E2-activated enhancers (MegaTrans) enhancers,1,2,0,0.0,False,True,CDCODE,PhasePro
enhancer_condensate,MegaTrans enhancer complex,enhancer condensate,2,4,0,0.0,False,True,CDCODE,PhaSepDB
enhancer_condensate,MegaTrans enhancer complex,nuclear bodies that occur at super enhancers in mESCs,2,2,0,0.0,False,True,CDCODE,PhasePro
enhancer_condensate,MegaTrans enhancer complex,robustly E2-activated enhancers (MegaTrans) enhancers,2,2,2,1.0,False,True,CDCODE,PhasePro
enhancer_condensate,enhancer condensate,nuclear bodies that occur at super enhancers in mESCs,4,2,0,0.0,False,True,PhaSepDB,PhasePro
enhancer_condensate,enhancer condensate,robustly E2-activated enhancers (MegaTrans) enhancers,4,2,0,0.0,False,True,PhaSepDB,PhasePro
enhancer_condensate,nuclear bodies that occur at super enhancers in mESCs,robustly E2-activated enhancers (MegaTrans) enhancers,2,2,0,0.0,True,True,PhasePro,PhasePro
eres_condensate,ERES,SCOTIN condensate,8,3,1,0.333,True,True,CDCODE,CDCODE
exosomal_condensate,SDC4 exosomal condensate,YBX1 condensate,1,1,0,0.0,True,True,CDCODE,CDCODE
ftsz_droplet,FtsZ condensate,FtsZ/SlmA body,1,2,1,1.0,True,True,CDCODE,CDCODE
ftsz_droplet,FtsZ condensate,Ftsz-rich droplets at specific chromosomal DNA sites,1,2,1,1.0,False,True,CDCODE,PhasePro
ftsz_droplet,FtsZ/SlmA body,Ftsz-rich droplets at specific chromosomal DNA sites,2,2,2,1.0,False,True,CDCODE,PhasePro
galectin_lattice,galectin complex,galectin lattice,1,1,1,1.0,True,True,PhasePro,PhasePro
gem,Gemini of cajal body,Gems,2,1,0,0.0,False,True,DrLLPS,PhaSepDB
gem,Gemini of cajal body,SMN1 nuclear body,2,1,0,0.0,False,False,DrLLPS,CDCODE
gem,Gems,SMN1 nuclear body,1,1,0,0.0,False,False,PhaSepDB,CDCODE
germ_plasm,Founder granule,Germ plasm,1,4,0,0.0,False,True,CDCODE,PhaSepDB
germ_plasm,Founder granule,germ plasm,1,2,0,0.0,False,False,CDCODE,PhasePro
germ_plasm,Germ plasm,germ plasm,4,2,1,0.5,False,True,PhaSepDB,PhasePro
glycolytic_body,G-body,Glycolytic body,5,9,5,1.0,False,True,CDCODE,PhaSepDB
glycolytic_body,G-body,PFK-1.1 condensates,5,1,0,0.0,True,False,CDCODE,CDCODE
glycolytic_body,Glycolytic body,PFK-1.1 condensates,9,1,1,1.0,False,True,PhaSepDB,CDCODE
golgin_condensate,Golgi ribbon,Golgin condensate,1,7,1,1.0,True,True,CDCODE,"CDCODE,PhaSepDB"
heterochromatin,Heterochromatin,XY body,42,10,0,0.0,True,True,"CDCODE,PhaSepDB",PhaSepDB
heterochromatin,Heterochromatin,heterochromatin,42,4,4,1.0,False,True,"CDCODE,PhaSepDB",PhasePro
heterochromatin,XY body,heterochromatin,10,4,0,0.0,False,False,PhaSepDB,PhasePro
hippo_condensate,DDR1 condensate,Hippo signalosome,2,7,0,0.0,True,False,CDCODE,CDCODE
hippo_condensate,DDR1 condensate,NEDD4 condensates,2,3,0,0.0,True,False,CDCODE,CDCODE
hippo_condensate,DDR1 condensate,TAZ Condensate,2,8,0,0.0,True,False,CDCODE,CDCODE
hippo_condensate,Hippo signalosome,NEDD4 condensates,7,3,1,0.333,True,True,CDCODE,CDCODE
hippo_condensate,Hippo signalosome,TAZ Condensate,7,8,1,0.143,True,True,CDCODE,CDCODE
hippo_condensate,NEDD4 condensates,TAZ Condensate,3,8,0,0.0,True,True,CDCODE,CDCODE
histone_locus_body,Histone Locus Body,Histone locus body,15,11,9,0.818,False,True,CDCODE,"DrLLPS,PhaSepDB"
hyperosmotic_shock_foci,Hyperosmotic shock foci,Hypersomatic shock foci,18,17,17,1.0,False,True,PhaSepDB,CDCODE
inava_condensate,IL-1b-induced INAVA condensates,INAVA condensates,1,1,1,1.0,True,True,CDCODE,CDCODE
inclusion_body,Htt inclusion,Inclusion Body,3,4,0,0.0,True,False,"CDCODE,PhaSepDB",CDCODE
inclusion_body,Htt inclusion,Inclusion body,3,59,1,0.333,True,True,"CDCODE,PhaSepDB","CDCODE,PhaSepDB"
inclusion_body,Htt inclusion,P6 inclusion body,3,6,0,0.0,True,False,"CDCODE,PhaSepDB",CDCODE
inclusion_body,Htt inclusion,TDP-25 inclusions,3,1,0,0.0,True,True,"CDCODE,PhaSepDB",CDCODE
inclusion_body,Htt inclusion,inclusion body,3,3,0,0.0,False,True,"CDCODE,PhaSepDB",PhasePro
inclusion_body,Htt inclusion,inclusion body-associated granule (IBAG),3,9,0,0.0,True,True,"CDCODE,PhaSepDB",CDCODE
inclusion_body,Inclusion Body,Inclusion body,4,59,0,0.0,True,False,CDCODE,"CDCODE,PhaSepDB"
inclusion_body,Inclusion Body,P6 inclusion body,4,6,0,0.0,True,False,CDCODE,CDCODE
inclusion_body,Inclusion Body,TDP-25 inclusions,4,1,0,0.0,True,False,CDCODE,CDCODE
inclusion_body,Inclusion Body,inclusion body,4,3,0,0.0,False,False,CDCODE,PhasePro
inclusion_body,Inclusion Body,inclusion body-associated granule (IBAG),4,9,0,0.0,True,False,CDCODE,CDCODE
inclusion_body,Inclusion body,P6 inclusion body,59,6,1,0.167,True,True,"CDCODE,PhaSepDB",CDCODE
inclusion_body,Inclusion body,TDP-25 inclusions,59,1,1,1.0,True,True,"CDCODE,PhaSepDB",CDCODE
inclusion_body,Inclusion body,inclusion body,59,3,0,0.0,False,True,"CDCODE,PhaSepDB",PhasePro
inclusion_body,Inclusion body,inclusion body-associated granule (IBAG),59,9,4,0.444,True,True,"CDCODE,PhaSepDB",CDCODE
inclusion_body,P6 inclusion body,TDP-25 inclusions,6,1,0,0.0,True,False,CDCODE,CDCODE
inclusion_body,P6 inclusion body,inclusion body,6,3,0,0.0,False,False,CDCODE,PhasePro
inclusion_body,P6 inclusion body,inclusion body-associated granule (IBAG),6,9,0,0.0,True,False,CDCODE,CDCODE
inclusion_body,TDP-25 inclusions,inclusion body,1,3,0,0.0,False,True,CDCODE,PhasePro
inclusion_body,TDP-25 inclusions,inclusion body-associated granule (IBAG),1,9,0,0.0,True,True,CDCODE,CDCODE
inclusion_body,inclusion body,inclusion body-associated granule (IBAG),3,9,0,0.0,False,True,PhasePro,CDCODE
inflammasome,Inflammasome,TIFA-TRAF6 Condensate,2,7,0,0.0,True,True,CDCODE,CDCODE
integrin_adhesion_complex,Integrin adhesion complex,focal adhesion (FA) condensate,3,3,0,0.0,False,False,PhaSepDB,CDCODE
l_body,L-bodies,L-body,10,76,3,0.3,False,True,CDCODE,PhaSepDB
liquid_dyrk3_speckle,DYRK3 speckle,liquid-like DYRK3 speckles,1,1,1,1.0,False,True,CDCODE,PhasePro
maternal_mrna_condensate,Nuclear poly(A) domains,Rbm14-maternal mRNA condensate,1,1,0,0.0,False,False,CDCODE,PhaSepDB
mirisc,RISC complex,miRISC,2,2,2,1.0,True,True,PhasePro,"PhaSepDB,PhasePro"
mirisc,RISC complex,miRISC condensate,2,2,2,1.0,False,True,PhasePro,CDCODE
mirisc,RISC complex,micro-ribonucleoprotein complex,2,2,2,1.0,True,True,PhasePro,PhasePro
mirisc,miRISC,miRISC condensate,2,2,2,1.0,False,True,"PhaSepDB,PhasePro",CDCODE
mirisc,miRISC,micro-ribonucleoprotein complex,2,2,2,1.0,True,True,"PhaSepDB,PhasePro",PhasePro
mirisc,miRISC condensate,micro-ribonucleoprotein complex,2,2,2,1.0,False,True,CDCODE,PhasePro
mitochondrial_rna_granule,Mitochondrial RNA granule,mtRNA granule,40,42,40,1.0,False,True,DrLLPS,CDCODE
morc3_nuclear_body,MORC3 nuclear body,MORC3-NBs,1,1,1,1.0,False,True,CDCODE,PhasePro
mutator_foci,MUTator foci,Mutator foci,1,1,1,1.0,False,True,CDCODE,PhaSepDB
mutator_foci,MUTator foci,mutator focus,1,1,1,1.0,False,True,CDCODE,PhasePro
mutator_foci,MUTator foci,small RNA amplification complex,1,1,1,1.0,False,True,CDCODE,PhasePro
mutator_foci,Mutator foci,mutator focus,1,1,1,1.0,False,True,PhaSepDB,PhasePro
mutator_foci,Mutator foci,small RNA amplification complex,1,1,1,1.0,False,True,PhaSepDB,PhasePro
mutator_foci,mutator focus,small RNA amplification complex,1,1,1,1.0,True,True,PhasePro,PhasePro
necrosome,Arsenite-induced Necrosome,Necrosome,7,2,0,0.0,False,True,CDCODE,PhaSepDB
neuronal_granule,IMP1 RNP granule,Mimi granules,39,3,0,0.0,True,False,CDCODE,CDCODE
neuronal_granule,IMP1 RNP granule,Neuronal RNP granule,39,66,3,0.077,True,True,CDCODE,CDCODE
neuronal_granule,IMP1 RNP granule,Neuronal granule,39,58,2,0.051,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
neuronal_granule,IMP1 RNP granule,RBFOX1 RNP granule,39,2,0,0.0,True,False,CDCODE,CDCODE
neuronal_granule,IMP1 RNP granule,RNP transport granule,39,2,1,0.5,False,True,CDCODE,PhaSepDB
neuronal_granule,IMP1 RNP granule,TIAR2 neuronal granule,39,1,0,0.0,True,False,CDCODE,CDCODE
neuronal_granule,IMP1 RNP granule,neuronal ribonucleoprotein granule,39,5,1,0.2,False,True,CDCODE,PhasePro
neuronal_granule,Mimi granules,Neuronal RNP granule,3,66,0,0.0,True,True,CDCODE,CDCODE
neuronal_granule,Mimi granules,Neuronal granule,3,58,0,0.0,True,False,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
neuronal_granule,Mimi granules,RBFOX1 RNP granule,3,2,0,0.0,True,True,CDCODE,CDCODE
neuronal_granule,Mimi granules,RNP transport granule,3,2,0,0.0,False,False,CDCODE,PhaSepDB
neuronal_granule,Mimi granules,TIAR2 neuronal granule,3,1,0,0.0,True,False,CDCODE,CDCODE
neuronal_granule,Mimi granules,neuronal ribonucleoprotein granule,3,5,0,0.0,False,True,CDCODE,PhasePro
neuronal_granule,Neuronal RNP granule,Neuronal granule,66,58,52,0.897,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
neuronal_granule,Neuronal RNP granule,RBFOX1 RNP granule,66,2,0,0.0,True,True,CDCODE,CDCODE
neuronal_granule,Neuronal RNP granule,RNP transport granule,66,2,2,1.0,False,True,CDCODE,PhaSepDB
neuronal_granule,Neuronal RNP granule,TIAR2 neuronal granule,66,1,0,0.0,True,False,CDCODE,CDCODE
neuronal_granule,Neuronal RNP granule,neuronal ribonucleoprotein granule,66,5,5,1.0,False,True,CDCODE,PhasePro
neuronal_granule,Neuronal granule,RBFOX1 RNP granule,58,2,0,0.0,True,False,"CDCODE,DrLLPS,PhaSepDB",CDCODE
neuronal_granule,Neuronal granule,RNP transport granule,58,2,0,0.0,True,True,"CDCODE,DrLLPS,PhaSepDB",PhaSepDB
neuronal_granule,Neuronal granule,TIAR2 neuronal granule,58,1,1,1.0,True,True,"CDCODE,DrLLPS,PhaSepDB",CDCODE
neuronal_granule,Neuronal granule,neuronal ribonucleoprotein granule,58,5,1,0.2,False,True,"CDCODE,DrLLPS,PhaSepDB",PhasePro
neuronal_granule,RBFOX1 RNP granule,RNP transport granule,2,2,0,0.0,False,False,CDCODE,PhaSepDB
neuronal_granule,RBFOX1 RNP granule,TIAR2 neuronal granule,2,1,0,0.0,True,False,CDCODE,CDCODE
neuronal_granule,RBFOX1 RNP granule,neuronal ribonucleoprotein granule,2,5,0,0.0,False,True,CDCODE,PhasePro
neuronal_granule,RNP transport granule,TIAR2 neuronal granule,2,1,0,0.0,False,False,PhaSepDB,CDCODE
neuronal_granule,RNP transport granule,neuronal ribonucleoprotein granule,2,5,0,0.0,False,True,PhaSepDB,PhasePro
neuronal_granule,TIAR2 neuronal granule,neuronal ribonucleoprotein granule,1,5,0,0.0,False,False,CDCODE,PhasePro
norad_pum_body,NORAD-PUM body,NP bodies,2,2,2,1.0,False,True,PhaSepDB,CDCODE
nuage,IMC (intermitochondrial cement),Nuage,1,10,1,1.0,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
nuclear_body,Ccer1 condensate,Leucocyte nuclear body,2,21,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,Ccer1 condensate,NAB3 nuclear body,2,1,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,Ccer1 condensate,Nuclear body,2,221,0,0.0,True,True,CDCODE,"CDCODE,PhaSepDB"
nuclear_body,Ccer1 condensate,RBM15 condensate,2,2,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,Ccer1 condensate,SPRI2 Nuclear Condensate,2,2,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,Ccer1 condensate,VRN1 nuclear body,2,1,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,Ccer1 condensate,nuclear body,2,16,0,0.0,False,False,CDCODE,PhasePro
nuclear_body,Leucocyte nuclear body,NAB3 nuclear body,21,1,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,Leucocyte nuclear body,Nuclear body,21,221,9,0.429,True,True,CDCODE,"CDCODE,PhaSepDB"
nuclear_body,Leucocyte nuclear body,RBM15 condensate,21,2,0,0.0,True,True,CDCODE,CDCODE
nuclear_body,Leucocyte nuclear body,SPRI2 Nuclear Condensate,21,2,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,Leucocyte nuclear body,VRN1 nuclear body,21,1,0,0.0,True,False,CDCODE,CDCODE
