uniprot,mlo_db,rol_db,source,db,mlo,rol
Q13425,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13427,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q13427,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13428,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13428,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13435,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13435,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13435,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13435,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13435,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q13435,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q13442,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13454,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13464,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13480,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13490,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13501,P-body,,phasepdb,phasepdb_ht,p-body,
Q13501,P-body,,phasepdb,phasepdb_ht,p-body,
Q13501,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13503,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13503,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13503,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13507,P-body,,phasepdb,phasepdb_ht,p-body,
Q13509,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13509,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13522,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13522,Cajal body,,phasepdb,phasepdb_ht,cajal body,
Q13523,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13523,Cajal body,,phasepdb,phasepdb_ht,cajal body,
Q13523,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13523,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q13526,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13526,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13526,Cajal body,,phasepdb,phasepdb_ht,cajal body,
Q13526,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q13526,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13547,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13547,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13547,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q13555,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13561,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13573,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13573,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13573,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13573,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q13595,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13595,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13595,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13595,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q13596,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13601,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13601,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13601,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13608,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q13610,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13610,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13610,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13616,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13619,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13620,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13627,P-body,,phasepdb,phasepdb_ht,p-body,
Q13627,P-body,,phasepdb,phasepdb_ht,p-body,
Q13627,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13642,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13642,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13705,P-body,,phasepdb,phasepdb_ht,p-body,
Q13705,P-body,,phasepdb,phasepdb_ht,p-body,
Q13748,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13765,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13769,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13772,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13813,P-body,,phasepdb,phasepdb_ht,p-body,
Q13813,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13813,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13813,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q13813-2,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q13813-3,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q13822,Cajal body,,phasepdb,phasepdb_ht,cajal body,
Q13823,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13823,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13829,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13835,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13835,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13835,PML nuclear body,,phasepdb,phasepdb_ht,pml nuclear body,
Q13838,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13838,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13838,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13868,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13868,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13882,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13882,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13882,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13885,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13888,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13895,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13895,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13895,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13895,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13901,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13946,Cajal body,,phasepdb,phasepdb_ht,cajal body,
