uniprot_id,organism_uniprot,estado,remapea_a,reino
Q9NVY2,Homo sapiens,Active,,Metazoa
Q9NW67,Homo sapiens,Active,,Metazoa
Q9NXH4,Homo sapiens,Active,,Metazoa
Q9NXK4,Homo sapiens,Active,,Metazoa
Q9NYH0,Homo sapiens,Active,,Metazoa
Q9P1V2,Homo sapiens,Active,,Metazoa
Q9P2R9,Homo sapiens,Active,,Metazoa
Q9SN96,,DEMERGED,"P0DO44,P0DO45",
Q9T0J7,Arabidopsis thaliana,Active,,Viridiplantae
Q9UG18,Homo sapiens,Active,,Metazoa
Q9UG39,Homo sapiens,Active,,Metazoa
Q9UGP9,,DEMERGED,"P61964,P61965",
Q9UHY0,Homo sapiens,Active,,Metazoa
Q9UJY0,Homo sapiens,Active,,Metazoa
Q9UP86,Homo sapiens,Active,,Metazoa
Q9UPP5,Homo sapiens,Active,,Metazoa
Q9Y2S0,,DEMERGED,"P0DPB6,P0DPB5",
Q9Y321,Homo sapiens,Active,,Metazoa
Q9Y4S3,Homo sapiens,Active,,Metazoa
Q9Y658,Homo sapiens,Active,,Metazoa
Q9Y6Y3,Homo sapiens,Active,,Metazoa
R7KIR7,,DELETED,,
X5DSL3,,DELETED,,
X6RAL5,Homo sapiens,Active,,Metazoa
