uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	evidence	organism
O95347	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q9UQE7	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
O75643	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q13813	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q13247	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q04837	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q08945	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
P40763	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
P42229	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
O94804	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q03518	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q1KMD3	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
P04196	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
P14625	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q92598	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q7Z6Z7	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q99490	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P54886	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8N8A2	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P08133	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O95782	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O00213	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P61204	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q92888	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O15145	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P31939	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P25705	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P06576	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P46379	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9C0K0	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q10589	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P27708	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P0DP23	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P27824	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q01518	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P49368	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P50991	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P50990	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P09326	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q99459	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8N960	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q6ZU80	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q66GS9	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9BV73	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q96MT8	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P23528	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q14839	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q7Z7A1	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P53621	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P53618	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9Y678	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P31146	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P57737	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P23786	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P55060	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P14868	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9GZR7	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O00148	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P17844	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P10515	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P36957	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q92608	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8NF50	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P27487	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8TDB6	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P68104	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P26641	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P13639	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9H223	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q14152	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
B5ME19	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O00303	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P60842	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q92556	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9BSJ8	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9NV70	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q86UX7	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O75955	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q14254	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O95466	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P06241	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P22102	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q92616	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q96RP9	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O94925	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P04899	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P08754	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P63092	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P62879	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P10144	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P06899	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O60814	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P84243	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P68431	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P40939	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P69905	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P02042	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q13547	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8N257	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P04439	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P01889	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P10321	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P09651	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P51991	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q14103	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P31943	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P61978	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q1KMD3	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q99714	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P07900	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P14625	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P10809	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q92598	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P41252	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P48735	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q16666	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q13422	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q16891	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P12268	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q13576	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q15046	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O00139	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8N4N8	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q14974	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P18627	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q0VGL1	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P42166	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P42167	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P28838	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9P2J5	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P06239	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q96M42	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P02545	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P36776	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P42704	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P33241	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P52564	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P56192	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P25205	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P33991	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P33992	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P46013	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P26038	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P11586	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q99798	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P68032	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O43707	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P61160	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P55265	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O14950	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q00653	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P46087	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P57740	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O75694	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8TEM1	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8N1F7	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P29728	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9Y6K5	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q460N5	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8IXQ6	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q16822	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P08559	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P30101	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P17858	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q01813	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P07737	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O43175	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P29590	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P62937	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O14974	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q6NYC8	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P30153	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P14222	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P13727	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O94906	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q6P2Q9	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P07477	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P17980	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q99460	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q13200	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P29350	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P08575	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P47897	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P15153	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P63244	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9UKM9	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P62826	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P61224	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P54136	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q86YV0	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q09028	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P46063	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q63HN8	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P27694	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P15927	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P30050	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P61313	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P18621	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q07020	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q02543	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P62750	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P83731	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P46776	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P49207	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P32969	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P05386	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P05387	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P04843	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P46783	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P62244	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P39019	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P62266	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9P2E9	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O76021	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q13761	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9Y265	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9NZJ4	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9Y3Z3	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9Y512	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9NR31	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O75326	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8NC51	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P50453	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P23246	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q96B97	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P34897	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q96FS4	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q13291	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P11166	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9NZC9	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O95347	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9NTJ3	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O75643	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P14678	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9Y6N5	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P08240	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q07955	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q01130	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q04837	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q08945	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P40763	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P42229	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9Y5B9	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q03518	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q03519	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P17987	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9NYL9	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P21580	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q15025	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P67936	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q13263	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q71U36	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P68366	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P07437	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P68371	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P49411	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P0CG47	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P17480	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9H3U1	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P15498	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P55072	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q96QK1	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P04004	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q6PCB0	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P27348	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q9VF26	CDCODE	Germ granule	p_granule	NotInformed	unmapped	NULL	NULL
Q68E01	CDCODE	SOSS-INTAC Condensate	dna_damage_foci	NotInformed	unmapped	NULL	NULL
Q6P9B9	CDCODE	SOSS-INTAC Condensate	dna_damage_foci	NotInformed	unmapped	NULL	NULL
Q5TA45	CDCODE	SOSS-INTAC Condensate	dna_damage_foci	NotInformed	unmapped	NULL	NULL
Q9NRY2	CDCODE	SOSS-INTAC Condensate	dna_damage_foci	NotInformed	unmapped	NULL	NULL
Q6WCQ1	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q13287	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q96BD6	CDCODE	SOSS-INTAC Condensate	dna_damage_foci	NotInformed	unmapped	NULL	NULL
Q8K3Y3	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
P35579	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
Q8BQT2	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
O60841	CDCODE	eIF5B granules	stress_granule	NotInformed	unmapped	NULL	NULL
P60660	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
O43795	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
B0I1T2	CDCODE	P-body	p_body	NotInformed	unmapped	NULL	NULL
P97855	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q9HCS7	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q8WXH4	CDCODE	Purinosome	purinosome	NotInformed	unmapped	NULL	NULL
P50990	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P35637	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P17844	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P30566	CDCODE	Purinosome	purinosome	NotInformed	unmapped	NULL	NULL
Q9ULK4	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q96RL1	CDCODE	DNA damage foci	dna_damage_foci	NotInformed	unmapped	NULL	NULL
Q9CQL2	CDCODE	Ccer1 condensate	nuclear_body	NotInformed	unmapped	NULL	NULL
Q95YF3	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
O15067	CDCODE	Purinosome	purinosome	NotInformed	unmapped	NULL	NULL
Q7Z5L9	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q16666	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q9H9A7	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q9UKX7	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q14814	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q15233	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P46060	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q8WXI9	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q86T24	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q7Z333	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q9H6T3	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q86YH2	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q9Y6X2	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
O15164	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q9Y4B4	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P62987	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P17066	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P52272	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P11142	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P78347	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q96A19	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P08238	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P04279	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P0DMV8	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P00338	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P12814	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P01040	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q06265	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q13573	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q14643	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P25311	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q71DI3	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P01857	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P61978	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q8IY92	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P02545	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q13263	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P04792	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P47929	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P61626	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q7Z589	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P01591	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q9UGM3	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q9QJ38	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q16630	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q13085	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q06830	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q8TF42	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P17931	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
E5RJW4	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P23246	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
O60664	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P22314	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
O95373	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
Q16531	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
J3QL05	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P84090	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
P49588	CDCODE	PML body	pml_nuclear_body	NotInformed	unmapped	NULL	NULL
