uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	dataset_active	evidence	organism
A0A6I8SCP2	PhaSepDB	NotInformed	NotInformed	driver	driver	1	36257947	Xenopus tropicalis
Q6PFD9	PhaSepDB	Nuclear body	nuclear_body	driver	driver	1	37516964	Mus musculus
Q54EQ8	PhaSepDB	Nuclear pore complex	nuclear_pore_complex	driver	driver	1	25562883	Dictyostelium discoideum
Q9VCH5	PhaSepDB	Nuclear pore complex	nuclear_pore_complex	driver	driver	1	25562883	Drosophila melanogaster
F4ID16	PhaSepDB	Nuclear pore complex	nuclear_pore_complex	driver	driver	1	25562883;36257947	Arabidopsis thaliana
O60356	PhaSepDB	Stress granule	stress_granule	driver	driver	1	38360999	Homo sapiens
Q9WTK0	PhaSepDB	Stress granule	stress_granule	driver	driver	1	38360999	Mus musculus
P0AFF6	PhaSepDB	NotInformed	NotInformed	driver	driver	1	32675239	Escherichia coli (strain K12)
P0AFG0	PhaSepDB	Transcriptional condensate	transcriptional_condensate	driver	driver	1	38387461	Escherichia coli (strain K12)
Q86Y26	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37488172	Homo sapiens
Q04671	PhaSepDB	Inclusion body	inclusion_body	driver	driver	1	37116470	Homo sapiens
O15294	PhaSepDB	Transcriptional condensate	transcriptional_condensate	driver	driver	1	37851801	Homo sapiens
P38219	PhaSepDB	Stress granule	stress_granule	driver	driver	1	26359986;38942013	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
G5EC86	PhaSepDB	NotInformed	NotInformed	driver	driver	1	39167497	Caenorhabditis elegans
Q96CV9	PhaSepDB	NotInformed	NotInformed	driver	driver	1	39420095	Homo sapiens
O16810	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31560342	Drosophila melanogaster
Q13415	PhaSepDB	Heterochromatin	heterochromatin	driver	driver	1	39082875;37488096	Homo sapiens
Q13415	PhaSepDB	Nuclear body	nuclear_body	driver	driver	1	39082875;37488096	Homo sapiens
Q24168	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31560342	Drosophila melanogaster
Q7K2L1	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31560342	Drosophila melanogaster
Q9W102	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31560342	Drosophila melanogaster
Q24169	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31560342	Drosophila melanogaster
Q9Y1B2	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31560342	Drosophila melanogaster
P15962	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38484009;38515267	Tomato bushy stunt virus (strain Cherry)
Q2HRC8	PhaSepDB	Paraspeckle	paraspeckle	driver	driver	1	39592606	Human herpesvirus 8 type P (isolate GK18)
